id,host_id,listing_url,name,picture_url,description,instant_bookable,price,property_type,room_type,accommodates,beds,bedrooms,bathrooms,bathrooms_text,latitude,longitude,neighbourhood_cleansed,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,has_wifi,has_tv,has_washer,has_heating_system,has_kitchen
15420,60423,https://www.airbnb.com/rooms/15420,Georgian Boutique Apt City Centre,https://a0.muscache.com/pictures/cf69631f-4194-4020-ae63-9d745a90ec74.jpg,"Stunning, spacious ground floor apartment minutes from Princes Street.  Your own ‘home from home’ in an historic property, we strive to offer you the highest standards of comfort and attention to detail.<br /><br />The apartment is completely self-contained with no shared facilities.  It  has its own front door onto the street so there is no shared lobby or stair.",False,155.0,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1 bath,55.95759,-3.18805,"Old Town, Princes Street and Leith Street",647,4.98,4.99,4.97,4.98,4.99,4.98,4.92,True,True,True,True,True
24288,46498,https://www.airbnb.com/rooms/24288,"Cool central Loft, sleeps 4, 2 double bed+en-suite",https://a0.muscache.com/pictures/3460007/887314c6_original.jpg,"Upper level of duplex. Boho rustic-chic former warehouse Loft located in lively University quarter of City centre for exploring historic Old Town and at heart of Fringe, Jazz and International Festival venues. Great location for exploring, eating out and good pubs all year round (NB owner’s suite on lower level).",False,98.0,Entire loft,Entire home/apt,4,2.0,2.0,1.5,1.5 baths,55.94498320836646,-3.185293348616568,"Canongate, Southside and Dumbiedykes",397,4.64,4.81,4.39,4.89,4.92,4.85,4.67,True,True,True,True,True
38628,165635,https://www.airbnb.com/rooms/38628,Edinburgh Holiday Let,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Mzg2Mjg%3D/original/b96fa1b8-0f81-4636-95f5-6a981fe1ce1c.jpeg,Self contained studio 6 minutes by train to Edinburgh's city centre .Located between the city and the vibrant seaside suburb of  Portobello . The Brunstane Studio is the perfect place. <br />King sized bed with topper. Free Wi-Fi (7EN74N49) and parking.,False,117.0,Entire rental unit,Entire home/apt,2,2.0,1.0,1.5,1.5 baths,55.94215,-3.0964,Joppa,75,4.68,4.77,4.65,4.83,4.77,4.72,4.75,True,True,True,True,True
44552,195950,https://www.airbnb.com/rooms/44552,Double room - spacious Leith flat,https://a0.muscache.com/pictures/airflow/Hosting-44552/original/1bd34f0c-fdb6-4050-88f8-93407e4a9727.jpg,,False,75.0,Private room in condo,Private room,2,1.0,1.0,1.0,1 shared bath,55.96612,-3.17184,South Leith,318,4.77,4.82,4.75,4.92,4.88,4.71,4.77,True,True,True,True,True
54188,253850,https://www.airbnb.com/rooms/54188,The Four Sisters Boatel,https://a0.muscache.com/pictures/868604d2-7951-4530-95b7-f84eaf29d8e3.jpg,"A first for Scotland, The Four Sisters Boatel is a luxury, four star, self catering, canal barge, accommodation located in the very heart of Edinburgh city centre and has been awarded 4 stars by the Scottish Tourist Board.",True,378.0,Boat,Entire home/apt,6,2.0,3.0,1.5,1.5 baths,55.94217,-3.20863,Dalry and Fountainbridge,36,4.61,4.53,4.67,4.61,4.66,4.79,4.36,True,True,True,True,True
55881,264345,https://www.airbnb.com/rooms/55881,Lovely central apartment sleeps 5,https://a0.muscache.com/pictures/84332374/f268e8a8_original.jpg,Lovely characterful Victorian tenement apartment  belonging to an artist and a musician.,False,209.0,Entire rental unit,Entire home/apt,5,4.0,3.0,1.0,1 bath,55.95935,-3.17713,Hillside and Calton Hill,331,4.83,4.87,4.88,4.94,4.95,4.88,4.75,True,True,True,True,True
58682,281109,https://www.airbnb.com/rooms/58682,Beautiful Apartment in Edinburgh,https://a0.muscache.com/pictures/15f09c83-6ad6-4350-8938-c9f4f25dded0.jpg,"The apartment is situated in Stockbridge, an area with a wealth of shops bars and restaurants. There are excellent bus routes to the city centre but the apartment is close enough to walk to all the major sites. The accommodation is spacious and suitable for large family groups who wish to stay in a home rather than an hotel. For guests arriving during the football and rugby seasons the TV offers Sky sports channels, for guests that love 2nd hand shops, look no further than Stockbridge's array.",False,277.0,Entire rental unit,Entire home/apt,8,7.0,4.0,2.0,2 baths,55.95508,-3.21625,Comely Bank,201,4.94,4.97,4.91,4.99,4.97,4.96,4.95,True,True,True,True,True
97472,486859,https://www.airbnb.com/rooms/97472,"PERFECT LOCATION,FREE PARKING,WIFI",https://a0.muscache.com/pictures/1560d936-3da5-4dd0-a8a0-c30119092b3e.jpg,,False,75.0,Entire rental unit,Entire home/apt,4,2.0,2.0,1.0,1 bath,55.93,-3.20995,Morningside,36,4.5,4.36,4.64,4.89,4.83,4.75,4.56,True,True,True,True,True
112625,574430,https://www.airbnb.com/rooms/112625,"Epicurean Clerk - Huge, Central",https://a0.muscache.com/pictures/miso/Hosting-112625/original/6d8878ee-7921-4ac7-9407-23346b4156c9.jpeg,"Even Edinburgh locals are surprised by the size and preserved state of Epicurean Clerk, a traditional flat in the center of Edinburgh. It's just a 15 minute walk to the Royal Mile and a 20 minute walk to the castle. The flat has all the original features with a modern twist and is unusually spacious for an Edinburgh flat.",False,1530.0,Entire rental unit,Entire home/apt,9,5.0,4.0,1.5,1.5 baths,55.93865,-3.1794,Meadows and Southside,204,4.84,4.84,4.82,4.78,4.85,4.78,4.72,True,True,True,True,True
118314,597415,https://www.airbnb.com/rooms/118314,Vibrant Cottage Style Flat Near Leith Links Park,https://a0.muscache.com/pictures/ead06a36-40c2-4b6e-8dd9-c6f2317cdcc2.jpg,"Colourful, cozy flat with leafy outlook, central but quiet opposite Leith Links park and a 10 min walk to The Shore with its many great restaurants bars and shops. There is free parking in front of the house. 3 bus stops are just 1 min walk from the flat with buses going to the centre and other points of interest such as the Botanics or Portobello beach every few minutes. It's easy exploring Edinburgh from here!",False,197.0,Entire rental unit,Entire home/apt,3,3.0,2.0,1.0,1 bath,55.96814,-3.16032,Leith (Hermitage and Prospect Bank),268,4.85,4.85,4.84,4.91,4.91,4.67,4.71,True,True,True,True,True
